destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,safety_sentiment,safety_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,aspects_detected,aspect_sentiments,num_aspects
Pantai Indrayanti,Andrea Kopi Hitam,5,"Pantai ini punya ciri khas ada batu karang di sebelah kanan yang berbentuk persegi panjang, nah biasanya kalau subuh - subuh masih gelap suka ada pedagang nasi kuning keliling. Pasirnya halus enak buat lama - lama jalanan. Ada cafe deket pantai ini, kalau makan banyak rumah makan seafood juga. Saya belum kesampaian kalau shunset di pantai ini kira kira sebagus pantai ngandong ga ya? Pokoknya ini pantai rekomendasi buat wisata keluarga karena paling ramai. Saya sebagai solo riding engga cocok, te",,,,,,,,,negative,0.68,negative,0.68,negative,0.68,negative,0.68,,,negative,0.68,,,,,"accessibility, scenery, atmosphere, food, crowd",accessibility:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative,5
Agrowisata Bhumi Merapi,Destia Ilmi,4,"Kedua kalinya kesini gatau sekarang kok agak kurang terawat dulu kesini masih bagus "" Aja Tiket masuknya 30 ribu banyak hewan"" Juga cocok buat keluarga gen z ortunya dapet spot foto yang instagramable anaknya juga dapet hiburan hewN hewan, buat makannya gak coba makan di dalem.",negative,0.591,,,negative,0.591,,,,,negative,0.591,,,negative,0.591,,,,,negative,0.591,,,"cleanliness, price, scenery, food, photo_spot",cleanliness:negative; price:negative; scenery:negative; food:negative; photo_spot:negative,5
Museum Ullen Sentalu,Nissa Nia,5,"Museum milik pribadi yg menyimpan bukti2 sejarah kesultanan solo & yogya beserta tokoh-tokohnya Lokaainya Kaliurang ya guys,jadi udaranya sejuk , suasananya rimbun adem mendekati angker, ada kafenya hanya sayang pk.16 sudah tutup, padahal sy mentargetkan duduk sambil sruput2 kopimenikmati suasana angker...hehe",,,,,,,,,negative,0.572,,,negative,0.572,,,,,,,,,negative,0.572,"accessibility, atmosphere, historical_value",accessibility:negative; atmosphere:negative; historical_value:negative,3
Pantai Wediombo,Akmall,4,"Parkiran ke pantai harus jalan ke bawah, disepanjang jalan menuju pantai banyak warung makan. Sayangnya ketika kesini mau liat sunset tapi kurang beruntung kena mendung kemudian hujan. Pantainya memanjang dengan banyak karang.",,,negative,0.68,,,,,negative,0.68,negative,0.68,,,negative,0.68,,,,,,,,,"facilities, accessibility, scenery, food",facilities:negative; accessibility:negative; scenery:negative; food:negative,4
Museum Ullen Sentalu,Sati Hanj,5,"Pernah kesini waktu anak2 masih keciill.. Dulu tiket hanya 1 macam, sekarang 3 macam dr harga 50an smp 150rb, Tournya lebih singkat dr yg dl(paket 50rb)",,,,,negative,0.636,,,,,,,,,,,,,,,,,,,price,price:negative,1
Pantai Sundak,Nam Kwl,4,Pantai nya bagus banget dan banyak biota laut. Cuman kalo jalan ga pake sandal sakit meskipun itu jalan di pasir nya juga. Ada area camping nya juga dan pas mau berdiri in tenda malah di usir sama yang punya warung padahal bangun tenda di area camping. Cuman view nya bagus banget. Ga nyesel buat datang lagi ke sini. Kalo mau ke sini harus bawa alat buat nangkap ikan soalnya banyak ikan² kecil.,,,,,,,,,negative,0.423,negative,0.423,,,negative,0.423,,,,,,,,,"accessibility, scenery, food",accessibility:negative; scenery:negative; food:negative,3
Sendang Sono,cemplon manis,5,"tempat ziarah yg adem.... banyak kenangan disini, setelah berpuluh2 purnama baru bisa dtg lg. tapi sekarang berdoa tidak bisa kusuk, rame dpn patungnya, entah kenapa sekarang orang2 ga bisa hening, berisik kali.... yg plg krng adalah akses jalannya menuju lokasi hancur....",,,,,,,,,negative,0.664,,,negative,0.664,,,,,,,,,,,"accessibility, atmosphere",accessibility:negative; atmosphere:negative,2
Candi Prambanan,Ginanjar Nur P,5,Candi Prambanan Salah satu tempat iconic nya jogja Lokasi diperbatasan jogja jawa tengah Salah satu candi yang megah dan besar di jogja dn Indonesia Tiket nya cukup lah merogoh gocek Tapi fasilitas nya ya lumayan lengkap disini Rekomended lah buat rekreasi keluarga,,,,,positive,0.745,,,,,,,,,,,,,,,,,positive,0.745,"price, historical_value",price:positive; historical_value:positive,2
Gumuk Pasir Parangkusumo,Rika Yuniar,5,"Kalau ke parangtritis wajib cobain ke gumuk pasir, ga mesti naek jeep, bagus untuk foto foto.",,,,,,,,,,,negative,0.782,,,,,,,,,negative,0.782,,,"scenery, photo_spot",scenery:negative; photo_spot:negative,2
Pantai Ngobaran,Siti Afiyah Usman,5,"bagus banget pantainya cocok buat liat senja, bersama keluarga deket juga dinanding pantai gunung kidul yang lainnn asik banget bisa biat berenang juga buat foto juga oke banget",,,,,,,,,,,negative,0.434,,,,,,,,,negative,0.434,,,"scenery, photo_spot",scenery:negative; photo_spot:negative,2
Pantai Pok Tunggal,Riana Saputri,4,Tarif tpr untuk masuk area pantai 10rb/orang saran saya pas ditpr awal minta karcis yaa karena pas masuk ke pantai pok tunggal ada bapak bapak yg menghetian kendaraan untuk dipungut biaya lagi dengan kotak bertuliskan seiklasnya sepertinya …,negative,0.697,negative,0.697,negative,0.697,negative,0.697,negative,0.697,negative,0.697,,,,,negative,0.697,negative,0.697,,,,,"cleanliness, facilities, price, service, accessibility, scenery, safety, crowd",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; safety:negative; crowd:negative,8
Pantai Kukup,Fitri Nur Aini,5,"Pantai yang jarang orang tau di jogja terutama wisatawan Tapi tempatnya cantik banget, klo mau view yang lebih bagus bisa jalan lumayan keatas bukit jadi view pantainya terlihat sangat cantik",,,,,,,,,negative,0.437,negative,0.437,,,,,,,,,,,,,"accessibility, scenery",accessibility:negative; scenery:negative,2
Malioboro,Ilham Akbar Gemilang,5,"Tempat paling ikonik di Jogja sih ini. Malem-malem suasananya hidup banget, banyak jajanan, seniman jalanan, sama lampu-lampu yang bikin vibe-nya cozy parah. Cuma ya siap-siap rame, tapi itu justru yang bikin Malioboro punya nyawa 😍 …",,,,,,,,,positive,0.915,,,positive,0.915,,,,,,,,,,,"accessibility, atmosphere",accessibility:positive; atmosphere:positive,2
Pantai Ngobaran,Sisz Wati,5,Happy fun holiday bersama keluarga kecilku walaupun kehujanan di jalan soalnya kesana pake motor belum punya mobil. Tapi gapapa puas banget pas sesi foto nya serasa jadi model ternama sehari 🤭 Wonosobo - gunung kidul mantulll trabas adventure 😊 …,,,,,,,,,positive,0.99,,,,,,,,,,,positive,0.99,,,"accessibility, photo_spot",accessibility:positive; photo_spot:positive,2
Makam Raja-Raja Imogiri,Aisa,5,"Sangat menarik, kami harus melewati 454 anak tangga untuk sampai ke atas, menguji fisik dan niat betul. Tapi jika kalian malas bisa naik ojek saja seharga 10k. Tempatnya bersih, asri, indah, sangat rindang dan sejuk .",positive,0.479,,,positive,0.479,,,,,positive,0.479,positive,0.479,,,,,,,,,,,"cleanliness, price, scenery, atmosphere",cleanliness:positive; price:positive; scenery:positive; atmosphere:positive,4
Makam Raja-Raja Imogiri,Ridwan hasani,5,"Makam Raja Pajimatan Imogiri terletak di Dusun Pajimatan, Girirejo, Imogiri, Bantul. Posisi makam ini terletak sekitar 17 kilometer sebelah selatan pusat kota Yogyakarta. Letak kompleks makam ini berada di puncak Bukit Merak dengan ketinggian 85 meter di atas permukaan air laut. Letak makam yang berada di puncak bukit menjadikan tempat ini memiliki pemandangan yang indah. Kompleks Makam Pajimatan Imogiri ini merupakan makam-makam dari raja keturunan Mataram mulai dari masa Mataram Islam hingga m",,,,,,,,,,,neutral,0.342,,,,,neutral,0.342,,,,,,,"scenery, safety",scenery:neutral; safety:neutral,2
Gumuk Pasir Parangkusumo,Joko Purwantoro,5,"Tempat yang bagus, ala gurun sahara mesir, wajib coba kesini bisa bebas jungkir walik sepuasnya😁. Untuk info rute dan perjalanan lebih lengkapnya cek di youtube Ojo Lali Dolan",,,,,,,,,negative,0.87,negative,0.87,,,,,,,,,,,,,"accessibility, scenery",accessibility:negative; scenery:negative,2
Pantai Sadeng,medyarasmi nurman,4,"Kalau area pantainya kecil, sempit. Lebih luas area dermaga kapal nelayan dan pasar pelelangan ikan. Lebih cocok dibilang Dermaga Sadeng. Beberapa orang sedang memancing langsung di lepas pantainya. Pemandangan bagusnya melihat gelombang air laut dan kapal, perahu nelayan yang sedang parkir di dermaga warna warni. Kesini waktu agak siang jelang jam 11 dan libur minggu jadi lumayan banyak pengunjung berfoto ria dan makan di tepi tebing karangnya banyak warung dan pedagang cilok, bakso, pentol, mi",negative,0.544,negative,0.544,,,,,negative,0.544,negative,0.544,,,negative,0.544,,,negative,0.544,negative,0.544,,,"cleanliness, facilities, accessibility, scenery, food, crowd, photo_spot",cleanliness:negative; facilities:negative; accessibility:negative; scenery:negative; food:negative; crowd:negative; photo_spot:negative,7
Tugu Jogja,REZA RISWANDI,5,"ngga sia sia motoran dari bandung ke jogja ternyata jogja seseru dan seistimewa itu, next time kalo ada kesempatan dan rezeki mau ke jogja lagi",negative,0.847,negative,0.847,negative,0.847,negative,0.847,negative,0.847,negative,0.847,negative,0.847,negative,0.847,negative,0.847,negative,0.847,,,negative,0.847,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, food, safety, crowd, historical_value",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; historical_value:negative,11
Pantai Nglambor,desi chrisanty,3,"Dulu waktu masih tahun 2014 pantai ini hanya bisa di akses melalui pantai Jogan dengan melewati bukit-bukit di bagian kiri pantai jogan. Saat itu masih ada mata air tawar di dekat pantai *red bawah tebing. Selain itu airnya masih jernih. Walaupun susah di akses pantai masih bersih dan jauh dari sampah. Kalau sekarang pantai sudah bisa di akses, hanya saja jika kita membawa mobil kita harus memarkirkannya di luar pintu masuk dan sewa ojek ke dalam biaya untuk ojeknya sekitar 15 ribu. Jika kita ba",negative,0.478,negative,0.478,,,,,negative,0.478,,,,,,,,,,,,,,,"cleanliness, facilities, accessibility",cleanliness:negative; facilities:negative; accessibility:negative,3
Pantai Sadranan,Dheni Hardiyanto,5,"Ombaknya besar malau bulan desember. Harga masuk ke kawasan libur nataru Rp15.000 per orang dewasa, parkir mobil Rp15.000 per mobil",,,negative,0.481,negative,0.481,,,negative,0.481,,,,,,,negative,0.481,,,,,,,"facilities, price, accessibility, safety",facilities:negative; price:negative; accessibility:negative; safety:negative,4
Pantai Gesing,Ridha Nahdhiyah Alma Amaliyah,5,Tempat yang bagus untuk berlibur dan menghabiskan waktu bersama keluarga. Naik wahana bianglalanya juga enggak kalah seru. Wajib ke sini kalau bersama keluarga atau pasangan.,,,,,,,,,,,negative,0.524,,,,,,,,,,,,,scenery,scenery:negative,1
Candi Kalasan,Rahman the unique explorer,5,"Candi ini bernafaskan Budha Mahayana dan menjadi saksi sejarah berdirinya candi sebelum berdirinya candi Borobudur dan candi Prambanan dan mencerminkan kejayaan Mataram kuno dan berdiri di era dinasti Mangsa syailendra dengan inisasi oleh Rakai Panangkaran yang Beraliaran Siwa Hindu atas usulan para Mahaguru yang beraliran Buddha Mahayana dan didirikan pada masa awal sekitaran abad 778 Masehi (700 Saka) yang merupakan bentuk pendharmaan dan pemujaan altar dewi Tara, yang mana merupakan salah sat",,,,,,,,,,,,,,,,,negative,0.457,,,,,negative,0.457,"safety, historical_value",safety:negative; historical_value:negative,2
Pantai Slili,Yulia Adiasti,5,"Cukup ramai saat musim liburan. Tersedia banyak toilet, warung makan dan warung oleh-oleh seperti ikan goreng, udang, teri krispi, peyek dll.",,,negative,0.901,,,,,,,,,negative,0.901,negative,0.901,,,negative,0.901,,,,,"facilities, atmosphere, food, crowd",facilities:negative; atmosphere:negative; food:negative; crowd:negative,4
Situs Warungboto,Antares,5,"Saya kasih bintang 5 karena saya memang suka situs bersejarah, bagi yang tidak suka sejarah, bangunan kuno, skip aja ya. Untuk yang hobi foto, spot2nya cukup estetik, tinggal ambil anglenya aja. Untuk htm cukup bayar parkir dan masukkin donasi. Waktu yang dihabiskan di sini tidak terlalu lama, karena tempatnya juga tidak besar.",,,negative,0.708,negative,0.708,,,negative,0.708,,,,,,,,,,,negative,0.708,negative,0.708,"facilities, price, accessibility, photo_spot, historical_value",facilities:negative; price:negative; accessibility:negative; photo_spot:negative; historical_value:negative,5
Pantai Baru,arifahfafa,4,"Pantai teduh di arah Selatan bagian Barat Yogyakarta. Disana Anda bisa menikmati pemandangan pantai dengan ombak besar, jadi tetaplah waspada menjaga anak2 jika bermain di pantai. Untuk para orangtua bisa menikmati pantai dengan sekedar duduk2 dibawah pohon2 rindang yg teduh disana. Di sepanjang pantai banyak warung-warung makan dengan menu utama seafood. Tapi jangan khawatir, Anda juga bisa menemukan makanan instan atau kopi tubruk. Namun pada waktu2 liburan Anda kudu lebih bersabar, karena har",negative,0.423,negative,0.423,negative,0.423,,,,,negative,0.423,negative,0.423,negative,0.423,negative,0.423,,,negative,0.423,,,"cleanliness, facilities, price, scenery, atmosphere, food, safety, photo_spot",cleanliness:negative; facilities:negative; price:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; photo_spot:negative,8
Pantai Gesing,Tila Gustia Yeni,5,This place is magical. Bagi yang suka laut bisa datang ke sini. Disarankan untuk datang pagi2 banget biar belom terlalu rame dan gak begitu panas. Areanya luas banget sih. Harus explore semua sisinya. Dan jangan lupa nyobain bianglala di sini. Tiket bianglala cuman 20K. Klo tiket masuk Gesing Wonderland 25K. Klo mau makan juga enak banget. Banyak yg jualan. Harganya juga murah. Yang berencana datang ke Gesing datang aja; sangat recommnded. Walaupun butuh hampir 2 jam untuk sampai ke sini dari pu,,,,,positive,0.702,,,,,,,,,positive,0.702,,,,,,,,,"price, food",price:positive; food:positive,2
Pantai Baron,Johannes Harsacitta Pramudyo,5,"bagus mines pas mo naik ke puncak ada ibu2 pungli berkedok ""biaya pembenaran tangga"" sama kalo mo parkir deket pantai usahain jangan rombongan soalnya tempatnya juga dipake parkir motor nelayan",,,negative,0.704,,,,,negative,0.704,negative,0.704,,,,,,,,,,,,,"facilities, accessibility, scenery",facilities:negative; accessibility:negative; scenery:negative,3
Pantai Kesirat,Zulfikar Wicaksono,5,Salah satu wisata unik di gunung Kidul. Karena tempat ini merupakan pinggir tebing yang ber-landscape pemandangan sunset di sore hari dan juga surga nya para pemancing laut. Untuk menuju lokasi kita harus berjalan kurang lebih sekira 10-15menit dari parkiran dan jangan lupa siapkan bekal terbaik mu jika ingin sekedar bersantai/camp disini,,,negative,0.427,,,,,negative,0.427,negative,0.427,,,,,,,,,,,,,"facilities, accessibility, scenery",facilities:negative; accessibility:negative; scenery:negative,3
Gumuk Pasir Parangkusumo,Yayuk Romadhona,5,Cakep .. Banyak pantai menarik,negative,0.414,negative,0.414,,,negative,0.414,negative,0.414,negative,0.414,negative,0.414,negative,0.414,negative,0.414,negative,0.414,,,negative,0.414,"cleanliness, facilities, service, accessibility, scenery, atmosphere, food, safety, crowd, historical_value",cleanliness:negative; facilities:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative; historical_value:negative,10
Pantai Sadranan,Sulis Tyowati,5,"Pantai ini sejalur dng pantai slili, drini. Sadranan ramah anak krn ombaknya tdk terlalu kencang. Ada area utk bermain snorkling (sewa 25 rb) dan kano (sewa 100 rb/30 mnt include pemandu). Krn rame akhirnya gak jd snorkling, cm kano aja sama keceh. Hati2 kaki luka krn byk batu karang",,,,,,,negative,0.574,,,,,,,,,negative,0.574,,,,,,,"service, safety",service:negative; safety:negative,2
Pantai Sundak,Damasus N,5,"Pantai pasir putih yang indah, dengan. Ombak yang tidak besar.... Diapit pantai Indrayanti dan pantai ngandong.... Terdapat banyak gazebo, juga warung makan untuk bersantai... Bagi yang ingin bermalam juga banyak terdapat homestay dimulai dari harga 250k.. parkir roda 2 5k, bermalam 10k..",,,negative,0.538,negative,0.538,,,negative,0.538,negative,0.538,,,negative,0.538,negative,0.538,,,,,,,"facilities, price, accessibility, scenery, food, safety",facilities:negative; price:negative; accessibility:negative; scenery:negative; food:negative; safety:negative,6
Candi Prambanan,ME,5,Waktu kunjungan terbaik jam 15.00-18.00 Agar tidak terlalu panas terik. Order ticket onsite ada pilihan untuk dewasa Dan anak (max usia 10 tahun),negative,0.455,negative,0.455,negative,0.455,negative,0.455,negative,0.455,negative,0.455,negative,0.455,negative,0.455,negative,0.455,negative,0.455,,,,,"cleanliness, facilities, price, service, accessibility, scenery, atmosphere, food, safety, crowd",cleanliness:negative; facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:negative; crowd:negative,10
Situs Warungboto,Dany Sulistiyo,5,"Peninggalan bersejarah yang terawat dengan baik dan memiliki nilai arsitektur yang unik. Suasana di sekitar situs cukup tenang, cocok untuk wisata edukasi maupun fotografi. Informasi sejarahnya jelas, dan akses menuju lokasi mudah dijangkau dari pusat kota Yogyakarta.",neutral,0.432,,,,,,,neutral,0.432,,,neutral,0.432,,,,,,,neutral,0.432,neutral,0.432,"cleanliness, accessibility, atmosphere, photo_spot, historical_value",cleanliness:neutral; accessibility:neutral; atmosphere:neutral; photo_spot:neutral; historical_value:neutral,5
Pantai Slili,Abdul Wajid Marjuwan,5,Pantai pasir putih yang indah! Kami datang di weekday jadi tidak terlalu ramai. Airnya jernih dan ombaknya tidak terlalu besar. Bisa ambil paket tur jeep keliling 6 pantai dan spot sunset di atas tebing (patung ikan) dengan biaya 400k an per jeep (kalau tidak salah ingat) bisa untuk 4-5 orang. Kami nyewa gazebonya 30k.,,,negative,0.67,,,,,,,negative,0.67,negative,0.67,,,negative,0.67,negative,0.67,negative,0.67,,,"facilities, scenery, atmosphere, safety, crowd, photo_spot",facilities:negative; scenery:negative; atmosphere:negative; safety:negative; crowd:negative; photo_spot:negative,6
Pantai Indrayanti,Nurul Fiandari,4,"Pantainya bagus, bersih, berpasir putih. Datang hari senin menjelang sore, jd sepi dan pantainya sedang surut. Anak-anak jd asyik bermain air dipantai. Semakin sore mulai banyak rombongan datang.",negative,0.627,,,,,,,,,negative,0.627,negative,0.627,,,,,negative,0.627,,,,,"cleanliness, scenery, atmosphere, crowd",cleanliness:negative; scenery:negative; atmosphere:negative; crowd:negative,4
Pantai Baru,dani wahyu,5,"Pantai yang layak untuk dikunjungi sekedar melepas penat. Pantainya tidak bisa untuk berenang karena ombak besar dan kondisinya berbeda dengan pantai Parangtritis. Pasir hitam keabuan. Banyak kapal di pinggiran pantai. Disekitar banyak pohon cemara, dan banyak yang jualan seafood.",,,,,,,,,,,,,,,negative,0.579,negative,0.579,,,,,,,"food, safety",food:negative; safety:negative,2
Tugu Jogja,E.S,5,"Solo touring dari Bandung - Jogja menempuh jarak 392Km dengan menggunakan sepeda motor via jalur lintas selatan, berangkat pagi sampai sore.. Langsung coba makan sate yg ada di samping perempatan rasa nya enak harga murah seporsi 14rb sudah pakai lontong..",,,,,negative,0.735,,,,,,,,,negative,0.735,,,,,,,,,"price, food",price:negative; food:negative,2
Gumuk Pasir Parangkusumo,dhany list,4,Panasss sekali area gumuk pasir disiang hari cocoknya dikunjungi pagi atau sore hari wajib pake kacamata hitam dan sunblock karena pas berkendara banyak pasir atau debu berterbangan seru medannya keren dan menantang,negative,0.844,negative,0.844,,,negative,0.844,negative,0.844,negative,0.844,,,,,negative,0.844,negative,0.844,,,,,"cleanliness, facilities, service, accessibility, scenery, safety, crowd",cleanliness:negative; facilities:negative; service:negative; accessibility:negative; scenery:negative; safety:negative; crowd:negative,7
Pantai Sundak,Wiwik Ariaryana,1,Warung mkn nya muahal2...lbih murah di kota2 sprti seafood lamongan.kirain laut tmptnya ikan tp mlh mhl...penginapan pkai kipas no tv 250,,,,,negative,0.594,,,,,,,,,negative,0.594,,,,,,,,,"price, food",price:negative; food:negative,2
Pantai Nglambor,Wenny Wulandari,5,"Snorkeling di tempat ini 2 minggu yang lalu, seru banget. Per orang biayanya 50rb, dipinjami pelampung, sepatu karet, alat nafas dan udah termasuk foto2 di dalam air 🤗 muraaah kan. Yuk gass. …",,,,,,,,,,,,,,,,,,,,,negative,0.937,,,photo_spot,photo_spot:negative,1
Pantai Gesing,Dian Chrisniar,4,"Letaknya ada di gunung kidul, jarak tempuhnya lumayan jauh dari kota Jogja sendiri. Seperti biasa ya, setiap mau masuk wilayah wisata Kidul pasti dikenakan retribusi daerah, kurang lebih kemarin habis 50K. Kemarin kami main ke Gesing Wonderland, letaknya sebelahan persis dengan Heha Ocean View. Tidak ada pantai berpasir ya, karena ini konsepnya batu karang begitu. Ada wahana permainannya juga walau gak banyak. Dibandingkan tempat sebelah, aku sangat merekomendasikan tempat ini. Kenapa? Karena : ",positive,0.822,positive,0.822,positive,0.822,positive,0.822,positive,0.822,positive,0.822,,,positive,0.822,,,,,positive,0.822,,,"cleanliness, facilities, price, service, accessibility, scenery, food, photo_spot",cleanliness:positive; facilities:positive; price:positive; service:positive; accessibility:positive; scenery:positive; food:positive; photo_spot:positive,8
Pantai Kukup,Januarikey 92,5,"Cukup bagus..bersebelahan sama pantai mesra, tinggal masuk lewat jalur pantai dlm aja kalo ombak lagi ga tinggi..kesini Jumat jam 12nsiang..panase polll.. Org2 penjaga warung e baik2 tp jalanan ksni apalagi ikuti maps dr Malioboro, siap2 bikin jantung copot apalagi kendaraan kalo ga siap nanjak terus2an..wes alamat kuwi",,,,,,,,,negative,0.779,negative,0.779,,,negative,0.779,negative,0.779,,,,,,,"accessibility, scenery, food, safety",accessibility:negative; scenery:negative; food:negative; safety:negative,4
Bukit Bintang,Endnag Ristianasari,5,"Cuman sekedar mampir,pemandangan bagus,banyak pedagang makanan di pinggir jalan",,,,,,,,,negative,0.784,negative,0.784,,,negative,0.784,,,,,,,,,"accessibility, scenery, food",accessibility:negative; scenery:negative; food:negative,3
Pantai Sadeng,ursulin setyastika,5,"One of beautiful beach in Gunung Kidul, Yogyakarta ✨ Airnya berwarna hijau-biru. Termasuk 'hidden gem"" untuk kriteria pantai di Yogyakarta. Karna lokasinya yang jauh, tapi saat sampai di sana, kita akan disuguhkan dengan keindahan pantai, deburan ombak yg tinggi, perbukitan kapur yang menjulang tinggi, dan kapal-kapal yang terparkir rapi. Pantai ini sekaligus menjadi pelabuhan kecil bagi kapal-kapal nelayan, maka seringkali disebut sebagai surga para nelayan. Lokasi pantai dekat dengan pasar ika",positive,0.536,positive,0.536,positive,0.536,,,positive,0.536,positive,0.536,,,positive,0.536,positive,0.536,,,,,,,"cleanliness, facilities, price, accessibility, scenery, food, safety",cleanliness:positive; facilities:positive; price:positive; accessibility:positive; scenery:positive; food:positive; safety:positive,7
Malioboro,Atar,5,Tmpat pavorite slruh wisatawan....bnyak kuliner..spot fto..pasar beringharjo..yg pasti klo k malioboro wajib fto pakai pakaian adat jawa yg sangat iconic..,,,,,,,,,,,,,,,positive,0.516,,,,,positive,0.516,,,"food, photo_spot",food:positive; photo_spot:positive,2
Makam Raja-Raja Imogiri,IKA MAYAWATI,5,Tempat ziarah yang sangat sakral dan bersih. Anak tangga yg hampir 500 buah sungguh bikin tes kesehatan jantung dan kaki bagi emak² umur 40++,positive,0.522,,,,,,,,,,,,,,,,,,,,,,,cleanliness,cleanliness:positive,1
Museum Ullen Sentalu,diana deeana,5,"Suka sama vibesnya yg seperti berada didalam kraton, hening.. wangi... benda dan lukisan yg dipamerkan menyimpan cerita yg kebanyakan sy baru tau, dengan di guide Mb Tina wahh seru.. cerita jadi semakin seru dan asik, trus ditutup dengan teh dan cookiea yg enakk.. worth it dehh",,,,,positive,0.978,positive,0.978,,,,,,,positive,0.978,,,,,,,,,"price, service, food",price:positive; service:positive; food:positive,3
Pantai Sadranan,Channel Inspirasi Bersama,5,"Pantai ini dekat dengan pantai slili. Toilet nya cukup banyak dan bertebaran di mana mana Banyak juga yang menawarkan kamar untuk beristirahat. Kemaren temanku sewa kamar disini 100 untuk 4 orang Lumayanlah bisa istirahat setelah perjalanan jauh Kalo ke sini jangan lupa beli kepiting gorengnya, rumput laut yang digoreng juga Enak gurih Harganya sekitar 10-15 rb murah dan jarang kita jumpai di tempat lain Sewa gazebo di tepi pantai 30rb an Bisa snorkeling sewa perahu kano Sayangnya pas ke sana hu",negative,0.622,negative,0.622,negative,0.622,,,negative,0.622,,,,,negative,0.622,,,,,,,,,"cleanliness, facilities, price, accessibility, food",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; food:negative,5
Pantai Baru,mrtfrz,5,"Kesini pagi-pagi jam 6, belum banyak pengunjung, enak sekali suasananya, ga seperti dipantai depok, menurut pendapat pribadi saya lebih nyaman, nunggu nelayan datang dari pantai untuk beli ikan langsung dari nelayan",,,,,,,,,,,,,negative,0.786,negative,0.786,negative,0.786,negative,0.786,,,,,"atmosphere, food, safety, crowd",atmosphere:negative; food:negative; safety:negative; crowd:negative,4
Pantai Baron,Papa Zahra,1,"Yg jadi primadona itu mandi di sungainya bukan pantainya Karena sungainya jernih dan air ngalir, tapi sekarang dilarang mandi disungai, kalau mau nyebrang harus naik perahu lagi, siapkan dana lagi 🤭🫣, kemarin kesitu cuma ambil foto dan cari pantai lain, sudah bukan tujuanku lagi disitu, tak coret dr daftar tujuan wisata",,,,,,,,,,,,,,,,,,,,,negative,0.953,,,photo_spot,photo_spot:negative,1
Gumuk Pasir Parangkusumo,Dwiee Hart,5,"Menikmati Pantai dan Gumuk Pasir dan Sunseat dengan berkendara Jeep, Waktu tempuh 60-90 Menit.",negative,0.458,negative,0.458,,,negative,0.458,negative,0.458,negative,0.458,,,,,negative,0.458,,,negative,0.458,negative,0.458,"cleanliness, facilities, service, accessibility, scenery, safety, photo_spot, historical_value",cleanliness:negative; facilities:negative; service:negative; accessibility:negative; scenery:negative; safety:negative; photo_spot:negative; historical_value:negative,8
Candi Prambanan,Diky Alhaadiy,5,"Candi nya megah,rame wisatawan , ada beberapa candi yang bisa naik ke atas, paling bagus sih pas weekday biar ga terlalu ramai , di pintu exit banyal penjual makanan yang masih tergolong murah , dan banyak yang menjual souvenir untuk dibawa pulang",,,,,negative,0.745,,,,,negative,0.745,negative,0.745,negative,0.745,,,negative,0.745,,,negative,0.745,"price, scenery, atmosphere, food, crowd, historical_value",price:negative; scenery:negative; atmosphere:negative; food:negative; crowd:negative; historical_value:negative,6
Pantai Krakal,Sherly Inggriani Rahayu,5,"Pantai nya indaaahh sekalii masyaAllah🥺🫶🏻 ombaknya gedee, tp kalo sore mulai surut dan bisa main di pantai sambil cari biota lautt. ini kali pertama aku kesini sama keluarga ga tau kapan bisa kesini lg, tp kalo ada kesempatan mau banget kesini lagi🤗",,,,,,,,,,,,,,,,,negative,0.791,,,,,,,safety,safety:negative,1
Gumuk Pasir Parangkusumo,Bowo Ardianto,5,"Destinasi wisata unik menarik di pesisir selatan Jogja. Ada di dekat pantai. Ing atase pantai tapi ada wilayah seperti gurun. Sejauh mata memandang, hamparan pasir yang terbentuk karena aktivitas angin pantai ini begitu mempesona. Ada pola-pola unik dan menarik yang tertangkap mata. Indah dipandang. Menarik untuk diabadikan.",,,,,,,,,negative,0.481,negative,0.481,,,,,,,,,,,,,"accessibility, scenery",accessibility:negative; scenery:negative,2
