destination,username,stars,original_text,cleanliness_sentiment,cleanliness_confidence,accessibility_sentiment,accessibility_confidence,scenery_sentiment,scenery_confidence,atmosphere_sentiment,atmosphere_confidence,food_sentiment,food_confidence,crowd_sentiment,crowd_confidence,photo_spot_sentiment,photo_spot_confidence,historical_value_sentiment,historical_value_confidence,facilities_sentiment,facilities_confidence,price_sentiment,price_confidence,service_sentiment,service_confidence,safety_sentiment,safety_confidence,aspects_detected,aspect_sentiments,num_aspects
Candi Kalasan,Robi N,5,"Letaknya sungguh strategis karena berada tepat di sebelah jalan nasional. Dekat juga dari Candi Sambisari, Prambanan, dan Plaosan Lingkungan sekitar kompleks candi terawat dengan baik. Sepi di hari libur nasional. Harga tiket 6 ribu bagi wisatawan lokal. Sebetulnya tidak beli tiket pun, masih bisa foto-foto dari parkirannya (parkirannya luas banget). Sayangnya candi utama tidak dapat dimasuki padahal terlihat sangat megah. Melalui bacaan yang ada, candi ini belum pernah dipugar secara totalt/kes",negative,0.785,negative,0.996,,,negative,0.87,,,negative,0.83,positive,0.56,negative,0.995,,,negative,0.991,,,,,"cleanliness, price, accessibility, atmosphere, crowd, photo_spot, historical_value",cleanliness:negative; price:negative; accessibility:negative; atmosphere:negative; crowd:negative; photo_spot:positive; historical_value:negative,7
Candi Kalasan,nicky minaj,5,"Candinya dekat banget sama jalan raya (agak masuk gang dikit), kelihatan banget dari luar, bisa foto2 juga dari luar. Gak tahu bayar apa nggak masuknya, aku gak masuk, cuman poto dari luar saja uda bagus, toh aku gak suka sejarah. Candinya terawat kok, kayaknya sepi terus candi ini.",positive,0.623,negative,0.669,positive,0.61,negative,0.956,,,negative,0.956,,,negative,0.844,,,negative,0.894,,,,,"cleanliness, price, accessibility, scenery, atmosphere, crowd, historical_value",cleanliness:positive; price:negative; accessibility:negative; scenery:positive; atmosphere:negative; crowd:negative; historical_value:negative,7
Candi Kalasan,Edi Suryono,5,"Candi Kalasan peninggalan Budaya yang Agung, terpelihara sejak saya kecil hingga saat ini, dulu tempat saya belajar dan candi Kalasan selalu menjadi obyek lukisan yang masih terkenang hingga saat ini. Walaupun sudah banyak pendatang, masyarakatnya masih ramah seperti belasan bahkan puluhan tahun yang silam",,,,,,,,,,,,,,,negative,0.82,,,,,negative,0.572,,,"service, historical_value",service:negative; historical_value:negative,2
Candi Kalasan,chatharina surya,5,"Terpesonaaaa saat pertama datang ke sini.. Bangunan Candinya sangat megah. Masih ada batu2 di area depan Candi, yang blm selesai disusun.. Terbayang jika bangunan Candinya akan jauh lbh megah saat semua sdh selesai disusun..",,,negative,0.516,,,,,,,,,,,negative,0.994,,,,,,,,,"accessibility, historical_value",accessibility:negative; historical_value:negative,2
Candi Kalasan,Keperluan Penelitian,5,"Candi Kalasan merupakan candi Buddha yang lebih tua unurnya dari Cabdi Borobudur. Candi ini cukup mudah diakses karena berada dipinggir jalan utama Jogja-Solo. Ada tiket masuk seharga Rp. 6.000 per orang untuk turis lokal. Tempat parkir yang baru sekarang sudah cukup luas. Ada toilet dan akses untuk penyandang disabilitas menuju candi juga tersedia. Disarankan untuk mebgunjungi candi ini pada pagi jari pukul 07:00 - 09:00 dan sore hari pukul 16:30, diluar jam itu bila hari cerah keadaan cukup pa",,,negative,0.924,,,,,,,,,,,negative,0.8,negative,0.907,negative,0.859,,,,,"facilities, price, accessibility, historical_value",facilities:negative; price:negative; accessibility:negative; historical_value:negative,4
Candi Kalasan,Ali Ghozali,5,"Sangat jelas terlihat dari Jalan Raya Solo-Jogja. Akses parkir mudah. Paling nyaman dari arah Solo ke Jogja, sebab langsung pinggir ke kiri saja. Harga tiket Rp6000 untuk turis lokal. Candi terawat baik, ada taman di sekitar candi. Kebersihan candi sangat terjaga. Sebenarnya ada bilik, namun ditutup. Wisatawan dapat memutari latar dan menikmati arsitektur candi. Ada 4 pintu masuk ke area pelataran bangunan candi, namun hanya 2 yang masih lumayan utuh, dari sisi selatan dan barat.",negative,0.955,negative,0.959,,,negative,0.993,,,negative,0.969,,,negative,0.979,negative,0.989,negative,0.988,,,,,"cleanliness, facilities, price, accessibility, atmosphere, crowd, historical_value",cleanliness:negative; facilities:negative; price:negative; accessibility:negative; atmosphere:negative; crowd:negative; historical_value:negative,7
Candi Kalasan,Achmad Noer Cholis,5,"Candi Kalasan, terletak di Dusun Kalibening, Kecamatan Tirtomartani, Kabupaten Sleman, Daerah Istimewa Yogyakarta. Merupakan candi bercorak Buddha & candi tertua yang dibangun oleh wangsa Syailendra bisa dikatakan lebih tua dari Borobudur & Prambanan. Keberadaan Candi Kalasan dapat dikaitkan dengan sebuah prasasti batu yang berbahasa Sanskerta berhuruf Pranagari yang berangka tahun 778 M. Didalam prasasti Kalasan itu disebutkan tentang diperingatinya jasa Maharaja Tejahpurana Panangkaran yang te",,,,,neutral,0.777,,,,,,,,,neutral,0.704,,,,,,,,,"scenery, historical_value",scenery:neutral; historical_value:neutral,2
Candi Kalasan,epiana lestari,5,Datang di saat sedang renovasi jadi gk bisa diliat di dlm candi nya,,,,,,,,,,,,,,,positive,0.972,,,,,,,,,historical_value,historical_value:positive,1
Candi Kalasan,Rizky Wibowo,5,"Candi Kalasan, candi bercorak Buddha yang diyakini merupakan prototype dari Candi Agung Borobudur. Posisinya tidak jauh dari jalan raya, dan terlihat mencolok. Lokasi parkir di halaman rumah warga, cukup dua ribu rupiah saja. Waktu saya berkunjung sendiri, tidak dikenai tiket masuk oleh penjaganya, hanya diminta mengisi buku tamu. Tapi saat datang bersama teman, dikenai harga tiket sebesar Rp6000.",,,neutral,0.955,,,,,,,,,,,neutral,0.904,neutral,0.992,neutral,0.971,,,,,"facilities, price, accessibility, historical_value",facilities:neutral; price:neutral; accessibility:neutral; historical_value:neutral,4
Candi Kalasan,Agus Sunaryo,4,"Lokasi candi terletak dipinggir jalan utama Jogja - Solo, candinya cukup kecil, masuk gratis. Kebersihan cukup terjaga, semoga lestari warisan Budaya Indonesia!",,,negative,0.994,,,,,,,,,,,negative,0.992,,,negative,0.993,,,,,"price, accessibility, historical_value",price:negative; accessibility:negative; historical_value:negative,3
Candi Kalasan,Mariyana,4,"Main kesini, tempat parkirnya sembarang aja karena sepi. Ternyata candinya kecil, Dan pas datang gada yang jaga. Jadi kita cuma foto-foto dari luar pagar saja. Untuk suasanan tempatnya asri cuma kurang pepohonan kesannya sangat panas sekali. Pas juga sampai di sini jam 11 siang jadj kerasa banget panasnya. Ada warung pecel lele di dekat sini. Kalo untuk yang suka candi-candi bisa.mampir di candi yang lain juga. Kemarin kita mampir di candi ijo juga. Candi ini memiliki 52 stupa dan berada di sisi",,,negative,0.965,,,positive,0.874,negative,0.985,negative,0.596,positive,0.806,negative,0.994,,,,,,,,,"accessibility, atmosphere, food, crowd, photo_spot, historical_value",accessibility:negative; atmosphere:positive; food:negative; crowd:negative; photo_spot:positive; historical_value:negative,6
Candi Kalasan,Natalia Putri,5,"Kawasannya kecil, tp bersih hijau, ada kursi2 di tiap sudut, bisa duduk duduk santai. Kesini berdua doang sm anak wedok, dia tanya knp gaboleh masuk kedalem, ternyata kata petugasnya karena struktur bangunan yg sudah sangat tua, jadinya berbahaya untuk pengunjung, dulu sebelum covid, masih bisa masuk, skrg dah dikasi pembatas. Lahan parkir luas, bisa masuk bis, tiket masuk cuma 6ribu. Anakky usia 4 tahun gratis",negative,0.887,,,negative,0.763,negative,0.608,,,positive,0.993,,,,,positive,0.993,positive,0.993,,,positive,0.991,"cleanliness, facilities, price, scenery, atmosphere, safety, crowd",cleanliness:negative; facilities:positive; price:positive; scenery:negative; atmosphere:negative; safety:positive; crowd:positive,7
Candi Kalasan,Fajar Astanaprima,5,Candi Kalasan pinggir jalan. Tiket masuk 6 ribu rupiah (valid 9 Juni 2023). Datang kesini baiknya pagi atau sore. Kompleknya tidak begitu besar soalnya di tengah pemukiman warga & pinggir jalan raya persis.,,,negative,0.735,,,,,,,,,,,negative,0.838,,,negative,0.715,,,,,"price, accessibility, historical_value",price:negative; accessibility:negative; historical_value:negative,3
Candi Kalasan,Talitha Shafa,5,"Habis wawancara kerja di sekitar Kalasan trus lanjut healing ke Candi Kalasan 🥰 untuk biaya masuknya tiket dewasa 10k dan tiket pelajar 6k, suasana anginnya sejuk dan lumayan sepi kalau di hari kerja, ada yang berjaga, untuk parkir gratis, di sana ada warung kelontong dan warung makan, kalau untuk toilet dan musholla masih dibangun.",,,,,,,negative,0.903,negative,0.991,negative,0.987,,,negative,0.925,negative,0.986,negative,0.556,,,,,"facilities, price, atmosphere, food, crowd, historical_value",facilities:negative; price:negative; atmosphere:negative; food:negative; crowd:negative; historical_value:negative,6
Candi Kalasan,Endro Joe,5,"Candi Kalasan atau juga disebut Candi Kalibening merupakan sebuah Bangunan Cagar Budaya yang dikategorikan sebagai candi umat Buddha. Candi ini terletak di Desa Tirtomartani, Kecamatan Kalasan, Kabupaten Sleman, Daerah Istimewa Yogyakarta, Indonesia. Candi ini memiliki 52 stupa dan berada di sisi selatan jalan raya antara Surakarta dan Jogja serta sekitar 2 km dari candi Prambanan.",,,neutral,0.889,,,,,,,,,,,neutral,0.873,,,,,,,,,"accessibility, historical_value",accessibility:neutral; historical_value:neutral,2
Candi Kalasan,Fitri Apriyadi Jalan & Jajan,5,"Candi yang terletak di dekat candi Prambanan. Kalau dari kota Yogya letaknya di sebelah kanan jalan sebelum candi Prambanan. Tiket masuk wisatawan domestik 6K, kalau wisatawan mancanegara 15K.",,,negative,0.785,,,,,,,negative,0.892,,,negative,0.763,,,negative,0.6,,,,,"price, accessibility, crowd, historical_value",price:negative; accessibility:negative; crowd:negative; historical_value:negative,4
Candi Kalasan,Isna,5,"Candi Kalasan yang terletak di Kalibening, Tirtomartani, Kalasan, Sleman merupakan salah satu candi umat Budha yang berada di Yogyakarta dan menjadi cagar budaya. Candi Kalasan ini berbentuk wihara yang lumayan luas, sayangnya ada beberapa bagian dari candi ini yang ditumbuhi rumput-rumputan. Mungkin kedepannya bisa dibersihkan agar tetap terjaga. Untuk tiket masuk ke candi ini 5ribu (lokal), 10rb (wisatawan mancanegara).",,,,,,,,,,,positive,0.903,,,negative,0.857,,,positive,0.873,,,,,"price, crowd, historical_value",price:positive; crowd:positive; historical_value:negative,3
Candi Kalasan,Anggy Anggyarini,5,"Salah satu candi budha yg letaknya tak jauh dari prambanan...arsitekturnya hampir mirip dengan candi sari yang letaknya tidak jauh dr candi dari situ.. Tiket masuk Rp. 5.000,- letaknya dipinggir jln raya jogja - solo ga terlalu susah mencari..beberapa sisi candi sedang dalam perbaikan sewaktu kami kesana.. Tetapi sisi lain candi masih ok untuk photo-photo.. Relief-relief candi yang masih utuh masih tampak gagah di dinding candinya..",,,negative,0.927,,,,,,,,,,,negative,0.888,,,negative,0.748,,,,,"price, accessibility, historical_value",price:negative; accessibility:negative; historical_value:negative,3
Candi Kalasan,Sigit,4,"Jalan masuk kecil, tidak tersedia lahan parkir namun ada tempat cukup untuk 2 kendaraan, masih dalam pemugaran candi.",,,neutral,0.934,,,,,,,,,,,neutral,0.942,neutral,0.942,,,,,,,"facilities, accessibility, historical_value",facilities:neutral; accessibility:neutral; historical_value:neutral,3
Candi Kalasan,Art Estetika,5,"Assalamualaikum warahmatullahi wabarokatuh Selamat berjumpa kembali dengan Jack Petualang Jagat Hari ini Selasa,22 April 25 aku Gowes kesekian kali di Candi Kalasan Sleman Yogyakarta Candi Kalasan dibangun pada abad ke-8 Masehi atas perintah Rakai Panangkaran, raja kedua Kerajaan Mataram Kuno dari Wangsa Sanjaya. Bangunan ini dipersembahkan untuk Dewi Tara dan para pendeta Budha. Candi Kalasan memiliki peran penting dalam sejarah karena menunjukkan kerjasama antara Dinasti Sanjaya (Hindu) dan Di",,,,,,,,,,,,,,,neutral,0.834,,,,,,,neutral,0.89,"safety, historical_value",safety:neutral; historical_value:neutral,2
Candi Kalasan,Mad Zoo,5,"Selalu kulewati kalau berkunjung ke tempat adik, wisata ke solo atau ke prambanan. Candi Budha yang masih tampak gagah bukti kebesarani nenek moyang kita. Candi yang konon dibangun 2 tahap sebagai kaguruan agama budha. Dengan usia yg renta (dibangun sekitar abad 8 masehi), banyak makara, patung, umpak ditqruh di sekeliling candi yang berbahan batu andesit. Wow, 2 x aq berkunjung yakni saat kuliah ma kemarin, rasanya rindu masa lalu🥰",,,,,,,,,,,,,,,negative,0.982,,,,,,,,,historical_value,historical_value:negative,1
Candi Kalasan,Hendra Priyanto,5,Sesuatu yang berharga bisa berjelajah dengan keluarga dan bisa menjelaskan langsung kepada buah hati dengan objek di depan mata...alhamdulillah senang melihat ekspresi kagum dari anakku yang melihat langsung bangunan Candi. Bagian dari cerita sejarah Indonesia. Buat bapa bapa petugasnya selalu diberikan kesehatan dan bertugas sepenuh hati..aamiin. Akses Candi Kalasan dekat dengan jalan utama. Mantappp,,,negative,0.993,,,,,,,,,,,negative,0.995,,,,,,,,,"accessibility, historical_value",accessibility:negative; historical_value:negative,2
Candi Kalasan,Ardin Mayasari,4,Kesini pas sedang dipugar... Semoga segera selesai proses nya,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Candi Kalasan,Melinda Indini,5,"Candinya ga terlalu besar dan Merupakan candi Budha. Dimana menurut prasasti kalasan 778 M, Penasehat keagamaan menyarankan kepada Rakai Panangkaran dr Wangsa Syailendra , penguasa kala itu untuk membangun bangunan suci untuk menghormati Dewi Tara. Sayangnya banyak batu asli yg hilang jadi bangunan candi jni tidak benar2 utuh. Lokasinya ada di Kalasan. Dan masih masuk wilayah Jogja. Belum ada tiket masuk. Seru dan bagus bgt sie buat belajar sejarah. Klo ke Jogja mampir kesini yaaa 🥰",,,,,negative,0.974,,,,,,,,,negative,0.955,,,negative,0.984,,,,,"price, scenery, historical_value",price:negative; scenery:negative; historical_value:negative,3
Candi Kalasan,Indah Nurwidiastuti,5,"Kedua kalinya kesini. Pertama kali tahun 2016. Sekarang kesini lagi tahun 2022. Untuk sekitaran candi terawat, rapi, bersih. Harga tiket 6.000/orang untuk wisatawan domestik. Sayang sudah tidak boleh naik keatas. Semoga tetap terawat baik",negative,0.982,,,,,,,,,negative,0.992,,,negative,0.992,,,negative,0.982,,,,,"cleanliness, price, crowd, historical_value",cleanliness:negative; price:negative; crowd:negative; historical_value:negative,4
Candi Kalasan,Budi Prasetyo Utomo,4,Resto yg cocok unt kumpul keluarga dan sahabat ... Dgn menu masakan yg beragam dan laziz ...😀👍 Letak strategis dan mudah parkir.,,,negative,0.996,,,,,negative,0.996,,,,,,,negative,0.996,,,,,,,"facilities, accessibility, food",facilities:negative; accessibility:negative; food:negative,3
Candi Kalasan,dwi suci hartini,5,"komplek candi dengan satu candi utama, terletak di daerah kalasan. reliefnya unik dan menarik terlihat pada beberapa bagian sisinya. karena menjulang tinggi, bagian pucuk candi ini sudah terlihat dari jalan solo-jogja bahkan jalan sepanjang selokan mataram.",,,negative,0.98,,,,,,,,,,,negative,0.991,,,,,,,,,"accessibility, historical_value",accessibility:negative; historical_value:negative,2
Candi Kalasan,reza prisma,5,"Candi nya bagus dan terawat, candi ini mirip dengan candi sari dan hampir mirip juga dengan candi banyunibo. Menurut perkiraan candi ini dibangun pada abad ke- 8 M, yaitu pada masa pemerintahan Rakai Panangkaran. Dalam Prasasti Kalasan diterangkan bahwa para penasehat keagamaan Wangsa Syailendra telah menyarankan agar Maharaja Tejapurnama Panangkarana, yang diperkirakan adalah Rakai Panangkaran, mendirikan bangunan suci untuk memuja Dewi Tara dan sebuah biara untuk para pendeta Buddha. jadi cand",negative,0.471,,,neutral,0.741,,,,,,,,,negative,0.738,,,,,,,,,"cleanliness, scenery, historical_value",cleanliness:negative; scenery:neutral; historical_value:negative,3
Candi Kalasan,Mini GK,5,"Jaga sikap kalau datang ke sini, karena bagaimana pun ini tempat ibadah. Kalau mau foto bagus dari sisi selatan. Semoga bangunan candi ini selalu seperti ini tidak ada lagi tangan jahil",,,,,positive,0.976,,,,,,,positive,0.976,positive,0.976,,,,,,,,,"scenery, photo_spot, historical_value",scenery:positive; photo_spot:positive; historical_value:positive,3
Candi Kalasan,Paisal Harahap,5,Candi ini hanya memiliki bangunan satu bangunan yang besar dan tinggi. Candi ini terlihat dari jalan raya jika anda dari jogja menuju solo begitu juga sebaliknya. Candi ini di perkirakan di bangun pada abad ke 9-10 Masehi.,,,neutral,0.825,,,,,,,,,,,neutral,0.706,,,,,,,,,"accessibility, historical_value",accessibility:neutral; historical_value:neutral,2
Candi Kalasan,Pradipta Indra Kumara,5,"Biasanya cuma lihat dari kejauhan, akhirnya kesampaian mampir. Bauar tiket cuma 6 ribu saja, ada beberapa tempat duduk yang bisa dipakai sekalian neduh",,,,,,,,,,,,,,,,,negative,0.835,negative,0.706,,,,,"facilities, price",facilities:negative; price:negative,2
Candi Kalasan,BludStory,2,"kompleks candinya kecil, tapi candinya sendiri kelihatan dari jalan. sayangnya masih dalam pemugaran dan tidak ada pengunjung yang bisa keluar masuk candi. kawasan ini tertutup hanya untuk pekerja, tapi sayangnya saat kesana juga tidak ada pekerja yang tampak sedang melakukan restorasi bangunan ini. semoga candi ini baik-baik saja dan tetap terjaga sejarahnya.",,,positive,0.661,,,,,,,negative,0.484,,,positive,0.785,,,,,,,,,"accessibility, crowd, historical_value",accessibility:positive; crowd:negative; historical_value:positive,3
Candi Kalasan,Dodo Dripp,5,"Candi ini punya nama lain candi Kalibening. Kategori candi umat Budha dengan 52 stupa dan berada di sisi selatan jalan raya antara Surakarta dan Jogja serta sekitar 2 km dari candi Prambanan. Pada bagian selatan candi terdapat dua relief Bodhisattva, sementara pada atapnya terdiri dari 3 tingkat. Atap paling atas terdapat 8 ruang, atap tingkat dua berbentuk segi 8, sedangkan atap paling bawah sebangun dengan candi berbentuk persegi 20 yang dilengkapi dengan relung arca di tiap sisinya.",,,neutral,0.676,,,,,,,,,,,neutral,0.951,,,,,,,,,"accessibility, historical_value",accessibility:neutral; historical_value:neutral,2
Candi Kalasan,Jenti Endrati,5,"Lokasi sangat strategis dan akses menuju ke lokasi juga sangat mudah Berlokasi di Kecamatan, Kalasan Kabupaten Sleman, Yogyakarta Merupakan salah satu situs bersejarah Saya hanya lewat, dan kebetulan melihat bangunan candi ini dari gerbang belakang Dari luar tampak indah Pada hari kerja tempat wisata ini sepi oleh pengunjung",,,negative,0.974,negative,0.576,positive,0.955,,,positive,0.99,,,negative,0.846,,,,,,,,,"accessibility, scenery, atmosphere, crowd, historical_value",accessibility:negative; scenery:negative; atmosphere:positive; crowd:positive; historical_value:negative,5
Candi Kalasan,Rodhian Wijaya,5,Candi Kalasan merupakan candi bercorak budha yang berada di komplek asrama biksu (candi sari) dibangun pada abad 7-8 M,,,,,,,,,,,,,,,neutral,0.827,,,,,,,,,historical_value,historical_value:neutral,1
Candi Kalasan,Siti Hidayatul Choiriyah,5,"Candi Kalasan Cantik sekaliiiiii HTM WNI 6 Ribu Tapi kemarin berkunjung sangat pagi, jam 6 karena dari luar kota. Hanya ada bapak penjaga. Belum ada petugas tiket. Kata bapaknya sudah masuk aja nggak usah bayar gakpapa petugasnya belum ada Baik sekaliiii, sayang lupa tanya nama. Besok jumpa lagi nggih Bapak Baik. Uademmm, sekitarnya pemukiman warga~",,,,,negative,0.972,,,,,,,,,negative,0.987,,,negative,0.991,negative,0.994,,,"price, service, scenery, historical_value",price:negative; service:negative; scenery:negative; historical_value:negative,4
Candi Kalasan,gunawan mahdi,5,"Suasana tidak gaduh meskipun dekat jalan raya. Tiket juga murah, tempat bersih dan cukup sejuk udaranya tidak panas. Rekomendasi untuk yang istirahat sejenak dalam perjalanan sambil lihat-lihat candi Kalasan yang meninggalkan pesan sejarah betapa hebatnya bangsa kita..",negative,0.986,negative,0.921,,,negative,0.979,,,,,,,negative,0.886,,,negative,0.991,,,,,"cleanliness, price, accessibility, atmosphere, historical_value",cleanliness:negative; price:negative; accessibility:negative; atmosphere:negative; historical_value:negative,5
Candi Kalasan,Channel Inspirasi Bersama,5,meskipun tempatnya agak masuk dalam gang tp mudah terlihat dari jalan raya karena bangunannya tinggi. Ada satpam yang berjaga di lokasi,,,negative,0.542,,,,,,,,,,,,,,,,,,,,,accessibility,accessibility:negative,1
Candi Kalasan,Su Yuan Hu,5,"Candi ini unik sekali, dengan arsitektur ala candi2 Hindu (seperti Prambanan) akan tetapi b3rcorak Buddhis. Menurut cerita orang yang jaga Candi, Candi ini adalah peralihan dr Kerajaan Hindu menuju ke corak Buddhis, itulah asal-usul uniknya candi ini. Selain itu, dekat (±450 M) dr Candi ini terdapat Candi Sari, yang menurut orang yang jaga Candi adalah bekas asrama/Kotti dari bhante2. Jadi Candi Kalasan adalah tempat para bahnte berdoa/lakukan ritual/bekerja, Candi Sari adalah tempat para Bhante",,,negative,0.734,,,,,,,,,,,neutral,0.525,,,,,,,,,"accessibility, historical_value",accessibility:negative; historical_value:neutral,2
Candi Kalasan,Mohammad Arief,5,"Kalau anda berwisata ke Candi Prambanan dan Ratu Boko,sekalian bisa mampir dibeberapa objek wisata candi yang lainnya dikawasan Prambanan (Sleman-Klaten) Salah satunya Candi Kalasan yg berada di sisi selatan jalan Solo-Yogya. Sebelah barat bogem, Candi Kalasan merupakan candi dg tingkat orisinil bangunan yg tinggi, artinya batu penyusun candi mayoritas masih asli. HTM -wisatawan lokal : 5000/org -wisatawan mancanegara: 10.000/org Jadwal pelayanan retribusi terakhir pukul 15.00 wib (setelah itu m",negative,0.878,negative,0.956,neutral,0.665,,,,,neutral,0.532,,,negative,0.955,,,negative,0.973,neutral,0.74,,,"cleanliness, price, service, accessibility, scenery, crowd, historical_value",cleanliness:negative; price:negative; service:neutral; accessibility:negative; scenery:neutral; crowd:neutral; historical_value:negative,7
Candi Kalasan,sapicoklat gembul,5,"candinya bagus banget, reliefnya bercorak hindu yang termasuk cagar budaya di daerah kalasan. cocok jadi destinasi wisata bareng keluarga dan foto foto aesthetic",,,,,negative,0.996,,,,,,,negative,0.992,negative,0.995,,,,,,,,,"scenery, photo_spot, historical_value",scenery:negative; photo_spot:negative; historical_value:negative,3
Pantai Nglambor,Putri RSL (Putrie RSL),5,"Wisata pantai Gunung Kidul yang ga cuma main air. Pantai Nglambor bisa jadi tujuan wisata di salah satu pantai Gunung Kidul yang terkenal dengan wisata snorkeling + arah menuju Pantai Nglambor Gunung Kidul jalannya bagus banget lewat JLS (Jalur Lingkar Selatan) pemandangannya jg bagus tebing dan pohon + arah masuk ke Pantai Nglambor harus pakai gojek, jadi yang bawa mobil ada tempat parkir khusus(dekat masjid) trus lanjut pakai gojek/ jalan kaki + Waktu tepat buat snorkeling di Pantai Nglambor j",,,negative,0.993,negative,0.995,,,negative,0.945,,,negative,0.75,,,negative,0.986,negative,0.842,neutral,0.684,neutral,0.805,"facilities, price, service, accessibility, scenery, food, safety, photo_spot",facilities:negative; price:negative; service:neutral; accessibility:negative; scenery:negative; food:negative; safety:neutral; photo_spot:negative,8
Pantai Nglambor,Nikmah Permana,4,"Ke pantai Nglambor bulan Desember pas musim hujan. jalan raya menuju pantai Nglambor lebar dan sepi. karena datang pas weekday jadi pantainya sepi, serasa pantai pribadi.. Alhamdulillah hari 1 terang benderang. tapi Hari ke 2 hujan deras... Snorkeling saat sore hari jam 3-4 ombak besar, airnya keruh.. padahal aslinya cantik sekali pemandangan airnya.. ikan2 banyak.. sebaiknya snorkling pas pagi sebelum jam 9. air laut agak surut dan ombak tidak besar. Pantai nya juga landai... Penginapan hanya a",,,negative,0.988,negative,0.735,negative,0.933,negative,0.996,negative,0.933,positive,0.943,,,negative,0.622,negative,0.848,negative,0.996,positive,0.862,"facilities, price, service, accessibility, scenery, atmosphere, food, safety, crowd, photo_spot",facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; atmosphere:negative; food:negative; safety:positive; crowd:negative; photo_spot:positive,10
Pantai Nglambor,andreas bimar setiari,4,"Nglambor ini termasuk dalam sederetan pantai-pantai di Gunung Kidul. Pintu masuknya jadi satu dengan Pantai Siung dan Timang. Katanya sih ini salah satu Pantai yang bisa snorkeling. Dan ternyata benar. Meskipun tidak seindah harapan kami, tapi tempat ini cocok buat yang mau belajar snorkeling. Tempatnya di teluk jadi terlindung dari ombak pantai selatan, tidak terlalu dalam saat pasang (kurang lebih 1.5 meter) dan underwater view nya adalah ikan-ikannya karena terumbu karang hampir semuanya suda",,,negative,0.978,negative,0.996,,,negative,0.996,,,,,,,negative,0.955,negative,0.888,,,negative,0.995,"facilities, price, accessibility, scenery, food, safety",facilities:negative; price:negative; accessibility:negative; scenery:negative; food:negative; safety:negative,6
Pantai Nglambor,Fauzan Rifqi Nugroho,5,"2 Agustus 2025 Pas weekend namun pantainya malah sepi. Tapi daya tarik di sini adalah bisa snorkeling karena ada teluk dengan kedalaman air sekitar 2 meter yang dipenuhi batu karang, lumut, ikan hias laut yang mempesona.",,,,,negative,0.759,negative,0.867,negative,0.767,negative,0.867,,,,,,,,,,,,,"scenery, atmosphere, food, crowd",scenery:negative; atmosphere:negative; food:negative; crowd:negative,4
Pantai Nglambor,Ila Nisa,5,"Kalo main, pas hari biasa aja ...biar serasa pulau pribadi Ndak ada orang 😁 …",,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pantai Nglambor,YO SI,5,"Tau gak sih? Pantai nglambor tuh beneran hidden gem. Gak nyesel nekat ke sini. Jalanan berliku tapi cantik pemandangannya. Dari tempat parkir ke lokasi masih harus naik ojek tapi ongkosnya masih sangat bersahabat..5k per orang (sejujurnya saya lebih milih ini daripada harus jalan, hihihi). Kalau sudah nanti turun ya kurang lebih 300m buat sampai di pantainya. Posisinya yang tersembunyi serasa punya privat beach... Selain dapat pemandangan alam dan laut yang indah, di sana kita bisa ambil kegiata",,,negative,0.997,negative,0.987,,,negative,0.974,,,negative,0.99,,,negative,0.997,positive,0.806,,,,,"facilities, price, accessibility, scenery, food, photo_spot",facilities:negative; price:positive; accessibility:negative; scenery:negative; food:negative; photo_spot:negative,6
Pantai Nglambor,Ratna Yuli Himawati,5,"MasyaAllah, pantainya termasuk cakep yaa ini. Bisa buat menyelam, berenang, menyebrangi jembatan pun (bayar tpi, lupa tarifnya). HTM 8rb, parkir 5rb. Bnyk warung dan kamar mandi. Ada penyewaan alat buat menyelam jga. Nicee! 🤗 …",,,,,,,,,negative,0.993,,,,,,,negative,0.996,negative,0.998,,,,,"facilities, price, food",facilities:negative; price:negative; food:negative,3
Pantai Nglambor,Muz Dwi Fatma,4,"Kesini pagi pagi sekitar jam setengah 8 pas airnya pasang dan ombaknya gede banget, masih sepi blm ada pengunjung sama sekali mungkin karena weekday atau memamg masih kepagian, htm di TPR 5 rb per orang tapi nggak dikasih karcis, parkir 10 rb mobil, parkiran agak jauh dari pantainya dan harus jalan atau bisa juga naik ojek, akhirnya kita disini cuma sebentar langsung pindah ke pantai sebelah",,,positive,0.873,neutral,0.768,positive,0.96,,,positive,0.836,,,,,positive,0.801,positive,0.961,,,,,"facilities, price, accessibility, scenery, atmosphere, crowd",facilities:positive; price:positive; accessibility:positive; scenery:neutral; atmosphere:positive; crowd:positive,6
Pantai Nglambor,Kartika Kurniasari Sasmoko,5,"Slah satu destinasi pantai gunung kidul yg sangat indah untuk snorkeling, HTM 5 ribu, parkir 10 ribu, dri parkir ke pantai lebih baik menggunakan jasa ojek 5 ribu karena lumayan agak jauh jika berjalan kaki, untuk snorkeling 50 ribu sdah include dokumentasi ya, mas2nya jg ramah dalam memandu..recommended buat liburan keluarga👍 …",,,negative,0.997,negative,0.729,,,,,,,negative,0.998,,,negative,0.907,negative,0.939,negative,0.998,,,"facilities, price, service, accessibility, scenery, photo_spot",facilities:negative; price:negative; service:negative; accessibility:negative; scenery:negative; photo_spot:negative,6
